BindingDB	Canonical_Smiles	IC50	PubChem
13246	Clc1cccc(C)c1NC(=O)c1sc(nc1)NC(=O)C1CC1	25000	9927718
13268	Clc1cccc(C)c1NC(=O)c1sc(nc1)Nc1nc(nc(c1)C)C	25000	11153014
50306881	Clc1c2c(c3c4c(cc(O)c3O)C(=O)Nc14)cccc2	25000	46232521
50312937	s1c(cnc1NC[C@@H]([NH3+])Cc1ccc(cc1)C(F)(F)F)-c1cc2CCC(=O)Nc2cc1	25000	23654066
50293159	Fc1ccc(cc1)C1=Nn2ncc(c2C=C1)-c1nc(ncc1)Nc1ccc(N2CC[NH+](CC2)C)cc1	25000	10238877
50348880	O=C(c1cn2N=C[NH+]=C(Nc3cc(ccc3C)C(=O)NC3CC3)c2c1C)c1ccccc1	25000	10048045
50352825	FC(F)(F)c1ccc(cc1)C[C@H]([NH3+])CNC(=O)c1cc2c(cc1)cncc2	25000	56675790
50352827	O=C(NC(C1CC[NH2+]CC1)c1cc2c(cc1)cccc2)c1cc2c(cc1)cncc2	25000	56679105
50352828	s1ccnc1C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56675791
50352829	Fc1cc(ccc1OC)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56672407
50352830	Fc1cc(ccc1F)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56668926
50352831	Clc1ccc(cc1-c1ccccc1)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56682406
50352832	Clc1ccc(cc1C#N)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56679106
50352833	Clc1cc(ccc1)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56658554
50352834	Clc1ccc(cc1)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56682407
50352835	Clc1ccc(cc1F)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56658555
50352836	Clc1c(cccc1Cl)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56675792
50352837	Clc1cc(ccc1Cl)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56679107
50352838	Clc1cc(cnc1Cl)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]CC1	25000	56662009
50352839	Clc1cc(ccc1Cl)C(NC(=O)c1cc2cc(F)ncc2cc1)C1CC[NH2+]CC1	25000	53386722
50352814	Clc1cc(ccc1Cl)C(NC(=O)c1cc2c(cc1)cncc2)C1CC[NH2+]C1	25000	56665612
50352817	Clc1cc(ccc1Cl)C(NC(=O)c1cc2c(cc1)cncc2)C1CCCCC1	25000	56682539
50352818	Clc1cc(ccc1Cl)C(NC(=O)c1cc2c(cc1)cncc2)c1cncnc1	25000	56662153
50352819	Clc1cc(ccc1Cl)C(NC(=O)c1cc2c(cc1)cncc2)c1ccncc1	25000	56682540
50352820	Clc1cc(ccc1Cl)[C@H](NC(=O)c1cc2c(cc1)cncc2)C1CC[NH+](CC1)CC(C)C	25000	56675913
50352821	Clc1cc(ccc1Cl)[C@H](NC(=O)c1cc2c(cc1)cncc2)C1CC[NH+](CC1)Cc1ccccc1	25000	56669073
