BindingDB	Canonical_Smiles	IC50	PubChem
50215483	O(C)c1cc2c3c([nH]c2cc1)C([NH2+]CC3)C(=O)[O-]	100000	3848929
21898	Clc1cc(Nc2c3c([nH+]cc2C#N)c(Cl)cc(NCc2[nH]cnc2)c3)ccc1F	100000	17759555
50257103	s1c([N+](=O)[O-])cnc1Sc1sc2c(n1)cc(OC)cc2	100000	44156975
50257184	s1c([N+](=O)[O-])cnc1Sc1sc2c(n1)cccc2	100000	44156976
50318051	BrC=1C(=O)N(N=CC=1OCc1ccccc1)Cc1ccccc1	100000	46887066
50310142	s1c([N+](=O)[O-])cnc1Sc1sc(nn1)NCCC	100000	46232267
50310148	s1c([N+](=O)[O-])cnc1Sc1sc(nn1)NCCOC	100000	46232269
50310146	s1c([N+](=O)[O-])cnc1Sc1sc(nn1)NCCc1cc(OC)c(OC)cc1	100000	46232270
50310147	s1c([N+](=O)[O-])cnc1Sc1sc(nn1)NC(CC)C	100000	46232312
50325369	O=C(NCC[NH+](C)C)c1ccc(cc1)-c1n2[NH+]=C(NCC3CC3)C=Cc2nc1	100000	24959046
50325373	Clc1cc(ccc1Cl)CNC1=[NH+]n2c(ncc2-c2ccc(cc2)C(=O)NCC[NH+]2CCCC2)C=C1	100000	49864785
50325374	Clc1cc(ccc1Cl)CNC1=[NH+]n2c(ncc2-c2ccc(cc2)C(=O)NC[C@H]2[NH2+]CCC2)C=C1	100000	49864850
